coordinate_system,x_nm,segment_id,material,phi_tilde_with,phi_tilde_no,phi_RP_with_V,phi_RP_no_V,c_R1_with,c_O2_with,c_R1_no,c_O2_no,eta_Au_with_V,eta_Pd_with_V,eta_Au_no_V,eta_Pd_no_V,eta_with_V,eta_no_V,j_Au_with_A_per_m2,j_Pd_with_A_per_m2,j_Au_no_A_per_m2,j_Pd_no_A_per_m2,current_density_with_A_per_m2,current_density_no_A_per_m2,sigma_with_C_per_m2
continuous_Neumann_computational_halfcell,0.0,C_left,C,1.5207145701727214,0.0,0.03904938424679452,0.0,4.575493538480834,0.21855565778637778,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390075178730116
continuous_Neumann_computational_halfcell,0.003602305475504323,C_left,C,1.5207054068462096,0.0,0.03904914894803106,0.0,4.575451611931682,0.2185576604924068,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390122238482808
continuous_Neumann_computational_halfcell,0.007204610951008646,C_left,C,1.5206808758813217,0.0,0.03904851903424406,0.0,4.575339373065513,0.2185630219884634,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01439024822124021
continuous_Neumann_computational_halfcell,0.010806916426512969,C_left,C,1.5206488066245427,0.0,0.039047695549840715,0.0,4.575192647685006,0.2185700312545283,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390412918120876
continuous_Neumann_computational_halfcell,0.014409221902017292,C_left,C,1.520619126615836,0.0,0.039046933417296474,0.0,4.575056857942519,0.21857651851122942,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390565344629725
continuous_Neumann_computational_halfcell,0.018011527377521614,C_left,C,1.5206003465309674,0.0,0.03904645117640485,0.0,4.574970938793235,0.21858062343534262,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390661792808053
continuous_Neumann_computational_halfcell,0.021613832853025938,C_left,C,1.5205965467722766,0.0,0.03904635360501304,0.0,4.574953555040677,0.2185814539905441,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390681307086413
continuous_Neumann_computational_halfcell,0.02521613832853026,C_left,C,1.5206059326649957,0.0,0.03904659461890116,0.0,4.574996495265455,0.2185794024180945,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390633104308787
continuous_Neumann_computational_halfcell,0.028818443804034585,C_left,C,1.5206214698315463,0.0,0.039046993587122186,0.0,4.575067578300184,0.21857600633989738,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390553310664585
continuous_Neumann_computational_halfcell,0.032420749279538905,C_left,C,1.520633374796505,0.0,0.03904729928653497,0.0,4.575122044643597,0.21857340421569021,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390492170782027
continuous_Neumann_computational_halfcell,0.03602305475504323,C_left,C,1.520632578995718,0.0,0.039047278851713524,0.0,4.575118403759322,0.21857357815664652,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390496257746316
continuous_Neumann_computational_halfcell,0.03962536023054755,C_left,C,1.5206139396998868,0.0,0.03904680022604683,0.0,4.575033127568678,0.2185776522521997,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390591982879656
continuous_Neumann_computational_halfcell,0.043227665706051875,C_left,C,1.5205780609567707,0.0,0.03904587892046213,0.0,4.574868984074995,0.21858549468432323,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014390776243996595
continuous_Neumann_computational_halfcell,0.0468299711815562,C_left,C,1.5205310797870126,0.0,0.03904467252329449,0.0,4.574654056427448,0.2185957643277937,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391017523430123
continuous_Neumann_computational_halfcell,0.05043227665706052,C_left,C,1.5204824932992622,0.0,0.03904342490426947,0.0,4.574431795453657,0.21860638538623736,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391267047235127
continuous_Neumann_computational_halfcell,0.054034582132564846,C_left,C,1.5204417960415846,0.0,0.03904237986736115,0.0,4.574245632412337,0.21861528224767113,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391476054616792
continuous_Neumann_computational_halfcell,0.05763688760806917,C_left,C,1.5204151181819814,0.0,0.03904169482494033,0.0,4.574123602957315,0.21862111451327387,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391613063100956
continuous_Neumann_computational_halfcell,0.061239193083573486,C_left,C,1.5204030548436265,0.0,0.039041385058765955,0.0,4.574068424089437,0.21862375182965715,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391675016335832
continuous_Neumann_computational_halfcell,0.06484149855907781,C_left,C,1.5204004551958157,0.0,0.03904131830419658,0.0,4.574056533137927,0.21862432017515374,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391688367249706
continuous_Neumann_computational_halfcell,0.06844380403458213,C_left,C,1.5203982460302914,0.0,0.039041261576553465,0.0,4.57404642830109,0.21862480315299812,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391699712778329
continuous_Neumann_computational_halfcell,0.07204610951008646,C_left,C,1.5203866442011282,0.0,0.039040963661156426,0.0,4.573993361303683,0.2186273396153289,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014391759295857738
continuous_Neumann_computational_halfcell,0.07564841498559079,C_left,C,1.5203586205317627,0.0,0.039040244060611705,0.0,4.5738651830220665,0.21863346644145623,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01439190321596668
continuous_Neumann_computational_halfcell,0.0792507204610951,C_left,C,1.520312388720006,0.0,0.03903905690569314,0.0,4.573653729835894,0.2186435744963755,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014392140646950392
continuous_Neumann_computational_halfcell,0.08285302593659943,C_left,C,1.5202520379525417,0.0,0.039037507199815046,0.0,4.57337771465213,0.218656770202079,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01439245058812601
continuous_Neumann_computational_halfcell,0.08645533141210375,C_left,C,1.5201860851716962,0.0,0.03903581364368565,0.0,4.573076097620342,0.2186711916996882,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014392789299351892
continuous_Neumann_computational_halfcell,0.09005763688760807,C_left,C,1.5201244595230943,0.0,0.03903423120101106,0.0,4.572794287523175,0.21868466786894183,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01439310578788681
continuous_Neumann_computational_halfcell,0.0936599423631124,C_left,C,1.5200749866539756,0.0,0.0390329608212081,0.0,4.572568063865894,0.21869548709452044,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0143933598638474
continuous_Neumann_computational_halfcell,0.09726224783861671,C_left,C,1.5200406176640477,0.0,0.03903207828353786,0.0,4.572410912020754,0.21870300356667968,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01439353637138145
continuous_Neumann_computational_halfcell,0.10086455331412104,C_left,C,1.5200183838997887,0.0,0.03903150735798691,0.0,4.5723092512445955,0.218707866211761,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014393650556491638
continuous_Neumann_computational_halfcell,0.10446685878962537,C_left,C,1.5200004477490818,0.0,0.039031046787900585,0.0,4.572227242352251,0.2187117890241901,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014393742670508903
continuous_Neumann_computational_halfcell,0.10806916426512969,C_left,C,1.5199768774705582,0.0,0.039030441542918445,0.0,4.572119474952734,0.21871694418272783,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014393863719505332
continuous_Neumann_computational_halfcell,0.11167146974063401,C_left,C,1.5199391636377282,0.0,0.03902947311532625,0.0,4.5719470460546745,0.21872519299254398,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01439405740502377
continuous_Neumann_computational_halfcell,0.11527377521613834,C_left,C,1.5198832321440356,0.0,0.039028036888941936,0.0,4.571691337378456,0.21873742696142512,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014394344650300634
continuous_Neumann_computational_halfcell,0.11887608069164267,C_left,C,1.5198108869085658,0.0,0.03902617918536383,0.0,4.5713606092556045,0.2187532521445161,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014394716191016255
continuous_Neumann_computational_halfcell,0.12247838616714697,C_left,C,1.5197291713711039,0.0,0.03902408086824116,0.0,4.5709870733285385,0.2187711284144612,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014395135854440789
continuous_Neumann_computational_halfcell,0.12608069164265132,C_left,C,1.5196478747449085,0.0,0.039021993308052984,0.0,4.570615482605835,0.21878891449207452,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014395553366478426
continuous_Neumann_computational_halfcell,0.12968299711815562,C_left,C,1.5195760659037347,0.0,0.03902014937817534,0.0,4.570287283788508,0.21880462603459294,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014395922152453952
continuous_Neumann_computational_halfcell,0.13328530259365995,C_left,C,1.519518882122231,0.0,0.03901868099515303,0.0,4.570025944951305,0.21881713846827083,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014396215829058416
